hdi_rank,country,2008,2009,2010,2011,2012,2013,2014,2015,2016
168, Haiti,"0,323611111","0,326388889","0,326388889","0,33125","0,334027778","0,3375","0,340277778","0,342361111","0,344444444"
133, Honduras,"0,409722222","0,410416667","0,413888889","0,415277778","0,414583333","0,416666667","0,41875","0,422916667","0,426388889"
7," Hong Kong, China (SAR)","0,622222222","0,623611111","0,625694444","0,627777778","0,632638889","0,635416667","0,640972222","0,64375","0,645833333"
45, Hungary,"0,568055556","0,568055556","0,571527778","0,574305556","0,576388889","0,579861111","0,578472222","0,579166667","0,579861111"
6, Iceland,"0,618055556","0,618055556","0,61875","0,625694444","0,63125","0,638888889","0,642361111","0,64375","0,647916667"
130, India,"0,391666667","0,395833333","0,403472222","0,410416667","0,416666667","0,421527778","0,429166667","0,435416667","0,441666667"
116, Indonesia,"0,448611111","0,455555556","0,459027778","0,464583333","0,46875","0,472916667","0,474305556","0,476388889","0,479861111"
60, Iran (Islamic Republic of),"0,514583333","0,51875","0,524305556","0,531944444","0,542361111","0,544444444","0,547222222","0,547916667","0,552777778"
120, Iraq,"0,446527778","0,448611111","0,450694444","0,455555556","0,457638889","0,4625","0,4625","0,463888889","0,466666667"
4, Ireland,"0,630555556","0,629166667","0,63125","0,621527778","0,626388889","0,632638889","0,639583333","0,645138889","0,648611111"
22, Israel,"0,611111111","0,6125","0,615972222","0,619444444","0,620138889","0,621527778","0,624305556","0,625694444","0,626388889"
28, Italy,"0,602777778","0,602777778","0,604166667","0,607638889","0,606944444","0,608333333","0,606944444","0,608333333","0,609722222"
97, Jamaica,"0,491666667","0,492361111","0,494444444","0,496527778","0,500694444","0,504166667","0,505555556","0,506944444","0,508333333"
19, Japan,"0,611805556","0,611111111","0,614583333","0,618055556","0,621527778","0,624305556","0,627083333","0,628472222","0,629861111"
95, Jordan,"0,511111111","0,509722222","0,505555556","0,504166667","0,504166667","0,504861111","0,506944444","0,509027778","0,510416667"
58, Kazakhstan,"0,527083333","0,529861111","0,53125","0,536111111","0,542361111","0,547222222","0,550694444","0,553472222","0,553472222"
142, Kenya,"0,363194444","0,370138889","0,377083333","0,383333333","0,388194444","0,393055556","0,397222222","0,401388889","0,40625"
134, Kiribati,"0,40625","0,405555556","0,409722222","0,409722222","0,415277778","0,422916667","0,427777778","0,43125","0,423611111"
22, Korea (Republic of),"0,606944444","0,603472222","0,613888889","0,616666667","0,618055556","0,620138889","0,622222222","0,623611111","0,625"
56, Kuwait,"0,547916667","0,548611111","0,55","0,551388889","0,552777778","0,552083333","0,554861111","0,556944444","0,558333333"
