HDI Rank;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
15; Finland;0,544444444;0,546527778;0,552083333;0,554861111;0,561805556;0,566666667;0,571527778;0,577777778;0,583333333;0,588888889;0,595833333;0,6;0,602083333;0,604166667;0,61875;0,621527778;0,624305556;0,625694444;0,627777778;0,624305556;0,627083333;0,629861111;0,630555556;0,633333333;0,634722222;0,635416667;0,6375;0,638888889
24; France;0,540972222;0,547222222;0,554166667;0,558333333;0,568055556;0,572916667;0,576388889;0,579166667;0,582638889;0,586805556;0,589583333;0,590972222;0,592361111;0,595138889;0,597222222;0,603472222;0,606944444;0,608333333;0,609722222;0,609722222;0,6125;0,613888889;0,615277778;0,617361111;0,620833333;0,623611111;0,624305556;0,625694444
110; Gabon;0,430555556;0,434027778;0,433333333;0,434722222;0,4375;0,438888889;0,440277778;0,442361111;0,444444444;0,441666667;0,439583333;0,441666667;0,44375;0,445138889;0,445138889;0,449305556;0,449305556;0,452777778;0,453472222;0,459027778;0,461805556;0,465277778;0,470833333;0,477083333;0,48125;0,481944444;0,484722222;0,4875
174; Gambia;0,23125;0,234027778;0,2375;0,240277778;0,242361111;0,245138889;0,25;0,252777778;0,257638889;0,2625;0,267361111;0,272916667;0,275694444;0,279861111;0,286111111;0,288888889;0,292361111;0,296527778;0,302083333;0,304166667;0,30625;0,305555556;0,309027778;0,314583333;0,315277778;0,317361111;0,317361111;0,319444444
70; Georgia;;;;;;;;;;;0,467361111;0,470833333;0,475;0,48125;0,486805556;0,494444444;0,498611111;0,506944444;0,505555556;0,507638889;0,510416667;0,514583333;0,520833333;0,525694444;0,53125;0,535416667;0,538888889;0,541666667
5; Germany;0,55625;0,561805556;0,565277778;0,572222222;0,575694444;0,579166667;0,582638889;0,586111111;0,590277778;0,59375;0,602777778;0,609027778;0,613194444;0,617361111;0,622916667;0,627083333;0,632638889;0,635416667;0,636805556;0,636805556;0,639583333;0,643055556;0,644444444;0,644444444;0,645833333;0,647916667;0,648611111;0,65
140; Ghana;0,315972222;0,319444444;0,322222222;0,325;0,326388889;0,328472222;0,329166667;0,330555556;0,33125;0,333333333;0,336111111;0,335416667;0,339583333;0,340277778;0,345833333;0,353472222;0,360416667;0,368055556;0,376388889;0,379861111;0,384722222;0,390972222;0,395833333;0,400694444;0,4;0,40625;0,408333333;0,411111111
31; Greece;0,522916667;0,529861111;0,530555556;0,529166667;0,531944444;0,533333333;0,536111111;0,539583333;0,546527778;0,547916667;0,552777778;0,559722222;0,568055556;0,572916667;0,579861111;0,586805556;0,590972222;0,589583333;0,595138889;0,595833333;0,594444444;0,591666667;0,593055556;0,594444444;0,6;0,601388889;0,602777778;0,604166667
75; Grenada;;;;;;;;;;;;;0,4875;0,49375;0,495138889;0,504861111;0,50625;0,510416667;0,513194444;0,5125;0,515972222;0,51875;0,520138889;0,523611111;0,528472222;0,532638889;0,534722222;0,536111111
127; Guatemala;0,331944444;0,335416667;0,340277778;0,34375;0,347222222;0,352083333;0,357638889;0,363194444;0,36875;0,374305556;0,379166667;0,384722222;0,388888889;0,391666667;0,39375;0,396527778;0,402083333;0,409722222;0,415277778;0,419444444;0,424305556;0,429861111;0,425694444;0,427777778;0,446527778;0,447916667;0,450694444;0,451388889
175; Guinea;0,191666667;0,194444444;0,196527778;0,199305556;0,202083333;0,204861111;0,207638889;0,213194444;0,218055556;0,223611111;0,228472222;0,233333333;0,239583333;0,233333333;0,250694444;0,257638889;0,263888889;0,270833333;0,275;0,277083333;0,280555556;0,290277778;0,297222222;0,302083333;0,305555556;0,307638889;0,311805556;0,31875
177; Guinea-Bissau;;;;;;;;;;;;;;;;0,275;0,280555556;0,284027778;0,288194444;0,292361111;0,295833333;0,302083333;0,303472222;0,305555556;0,309027778;0,311805556;0,314583333;0,315972222
125; Guyana;0,373611111;0,370138889;0,380555556;0,390277778;0,397222222;0,401388889;0,409027778;0,4125;0,414583333;0,416666667;0,419444444;0,421527778;0,422916667;0,420138889;0,424305556;0,426388889;0,426388889;0,429166667;0,43125;0,433333333;0,4375;0,44375;0,445833333;0,447916667;0,45;0,452083333;0,452777778;0,454166667
168; Haiti;0,284027778;0,284027778;0,281944444;0,2875;0,289583333;0,290277778;0,296527778;0,299305556;0,302083333;0,304861111;0,306944444;0,308333333;0,309722222;0,311805556;0,3125;0,314583333;0,318055556;0,320833333;0,323611111;0,326388889;0,326388889;0,33125;0,334027778;0,3375;0,340277778;0,342361111;0,344444444;0,345833333
133; Honduras;0,351388889;0,353472222;0,35625;0,361805556;0,363888889;0,367361111;0,370833333;0,375694444;0,379166667;0,38125;0,384722222;0,388194444;0,390972222;0,394444444;0,398611111;0,402777778;0,406944444;0,411805556;0,409722222;0,410416667;0,413888889;0,415277778;0,414583333;0,416666667;0,41875;0,422916667;0,426388889;0,428472222
7; Hong Kong;0,542361111;0,545833333;0,549305556;0,554861111;0,558333333;0,561111111;0,563194444;0,566666667;0,567361111;0,570138889;0,574305556;0,579861111;0,584722222;0,590972222;0,598611111;0,604861111;0,613194444;0,615972222;0,622222222;0,623611111;0,625694444;0,627777778;0,632638889;0,635416667;0,640972222;0,64375;0,645833333;0,647916667
45; Hungary;0,488888889;0,486805556;;0,499305556;0,509027778;0,514583333;0,518055556;0,51875;0,523611111;0,528472222;0,534027778;0,539583333;0,544444444;0,55;0,552083333;0,558333333;0,563194444;0,564583333;0,568055556;0,568055556;0,571527778;0,574305556;0,576388889;0,579861111;0,578472222;0,579166667;0,579861111;0,581944444
6; Iceland;0,556944444;0,565972222;0,568055556;0,568055556;0,571527778;0,573611111;0,577083333;0,583333333;0,589583333;0,592361111;0,597222222;0,601388889;0,607638889;0,611805556;0,614583333;0,617361111;0,61875;0,622916667;0,618055556;0,618055556;0,61875;0,625694444;0,63125;0,638888889;0,642361111;0,64375;0,647916667;0,649305556
130; India;0,296527778;0,3;0,304166667;0,309027778;0,313888889;0,319444444;0,324305556;0,328472222;0,333333333;0,338888889;0,342361111;0,345833333;0,35;0,359027778;0,365277778;0,371527778;0,378472222;0,386111111;0,391666667;0,395833333;0,403472222;0,410416667;0,416666667;0,421527778;0,429166667;0,435416667;0,441666667;0,444444444
116; Indonesia;0,366666667;0,370138889;0,374305556;0,378472222;0,385416667;0,391666667;0,400694444;0,409722222;0,409722222;0,415277778;0,420833333;0,425;0,429166667;0,433333333;0,436805556;0,438888889;0,445138889;0,445833333;0,448611111;0,455555556;0,459027778;0,464583333;0,46875;0,472916667;0,474305556;0,476388889;0,479861111;0,481944444
60; Iran (Islamic Republic of);0,400694444;0,4125;0,422222222;0,430555556;0,436805556;0,444444444;0,449305556;0,453472222;0,457638889;0,461111111;0,465277778;0,470833333;0,474305556;0,478472222;0,479861111;0,482638889;0,507638889;0,511111111;0,514583333;0,51875;0,524305556;0,531944444;0,542361111;0,544444444;0,547222222;0,547916667;0,552777778;0,554166667
120; Iraq;0,397222222;0,365972222;0,375694444;0,389583333;0,389583333;0,384027778;0,397916667;0,404166667;0,413888889;0,41875;0,421527778;0,426388889;0,427777778;0,41875;0,436111111;0,438194444;0,441666667;0,443055556;0,446527778;0,448611111;0,450694444;0,455555556;0,457638889;0,4625;0,4625;0,463888889;0,466666667;0,475694444
4; Ireland;0,529861111;0,532638889;0,536805556;0,542361111;0,547916667;0,552083333;0,55625;0,561805556;0,583333333;0,589583333;0,595138889;0,599305556;0,604861111;0,611111111;0,618055556;0,622222222;0,626388889;0,630555556;0,630555556;0,629166667;0,63125;0,621527778;0,626388889;0,632638889;0,639583333;0,645138889;0,648611111;0,651388889
22; Israel;0,55;0,555555556;0,560416667;0,563888889;0,568055556;0,571527778;0,575;0,579861111;0,585416667;0,590277778;0,592361111;0,595138889;0,600694444;0,600694444;0,602777778;0,605555556;0,605555556;0,611805556;0,611111111;0,6125;0,615972222;0,619444444;0,620138889;0,621527778;0,624305556;0,625694444;0,626388889;0,627083333
28; Italy;0,534027778;0,5375;0,541666667;0,545833333;0,551388889;0,555555556;0,559722222;0,565277778;0,56875;0,572222222;0,576388889;0,58125;0,584722222;0,588194444;0,591666667;0,595138889;0,598611111;0,601388889;0,602777778;0,602777778;0,604166667;0,607638889;0,606944444;0,608333333;0,606944444;0,608333333;0,609722222;0,611111111
97; Jamaica;0,443055556;0,44375;0,447916667;0,453472222;0,454861111;0,45625;0,458333333;0,459027778;0,459722222;0,461111111;0,459722222;0,467361111;0,470138889;0,467361111;0,479861111;0,482638889;0,486111111;0,489583333;0,491666667;0,492361111;0,494444444;0,496527778;0,500694444;0,504166667;0,505555556;0,506944444;0,508333333;0,508333333
